SalesID,SalesPersonID,CustomerID,ProductID,Quantity
1,17,10482,500,500
2,5,1964,306,810
3,8,12300,123,123
4,1,4182,437,437
5,14,15723,246,750
6,14,6000,60,60
7,5,17541,373,373
8,20,9423,183,687
9,1,1,1,10
10,11,11241,310,310
11,2,3023,119,623
12,17,14664,433,937
13,20,5241,250,250
14,8,16482,56,560
15,22,8264,369,873
16,3,18700,187,187
17,17,10482,500,500
18,5,1964,306,810
19,8,12300,123,123
20,1,4182,437,437
21,14,15723,246,750
22,14,6000,60,60
23,5,17541,373,373
24,20,9423,183,687
25,1,1,1,26
26,11,11241,310,310
27,2,3023,119,623
28,17,14664,433,937
29,20,5241,250,250
30,15,19482,86,590
31,6,11264,399,903
32,10,1941,217,217
33,1,13482,26,530
34,12,4964,336,840
35,15,15300,153,153
36,7,7182,467,467
37,21,18723,276,780
38,21,9000,90,90
39,12,782,403,403
40,4,12423,213,717
41,7,3000,30,30
42,18,14241,340,340
43,9,6023,149,653
44,1,17664,463,967
45,4,8241,280,280
46,15,19482,86,590
47,6,11264,399,903
48,10,1941,217,217
49,1,13482,26,530
50,12,4964,336,840
51,15,15300,153,153
52,7,7182,467,467
53,21,18723,276,780
54,21,9000,90,90
55,12,782,403,403
56,4,12423,213,717
57,7,3000,30,30
58,18,14241,340,340
59,9,6023,149,653
60,1,17664,463,967
61,4,8241,280,280
62,15,19482,86,590
63,6,11264,399,903
64,10,1941,217,217
65,1,13482,26,530
66,12,4964,336,840
67,15,15300,153,153
68,7,7182,467,467
69,21,18723,276,780
70,21,9000,90,90
71,12,782,403,403
72,4,12423,213,717
73,7,3000,30,30
74,18,14241,340,340
75,9,6023,149,653
76,1,17664,463,967
77,4,8241,280,280
78,15,19482,86,590
79,6,11264,399,903
80,10,1941,217,217
81,8,16482,56,560
82,22,8264,369,873
83,3,18700,187,187
84,17,10482,500,500
85,5,1964,306,810
86,8,12300,123,123
87,1,4182,437,437
88,14,15723,246,750
89,14,6000,60,60
90,22,19241,390,390
91,10,10723,196,700
92,13,1300,13,13
93,5,12941,327,327
94,19,4723,136,640
95,7,15964,446,950
96,10,6541,263,263
97,2,18182,73,577
98,16,9964,386,890
99,16,241,200,200
100,7,11782,9,513
101,22,3664,323,827
102,2,15300,153,140
103,7,7182,467,467
104,21,18723,276,780
105,21,9000,90,90
106,12,782,403,403
107,4,12423,213,717
108,7,3000,30,30
109,18,14241,340,340
110,9,6023,149,653
111,1,17664,463,967
112,4,8241,280,280
113,15,19482,86,590
114,6,11264,399,903
115,10,1941,217,217
116,1,13482,26,530
117,12,4964,336,840
118,15,15300,153,153
119,7,7182,467,467
120,15,664,293,797
121,15,10700,107,107
122,6,2482,420,420
123,20,14023,229,733
124,1,4700,47,47
125,12,15941,357,357
126,3,7723,166,670
127,17,19264,479,983
128,21,9941,297,297
129,9,1423,103,607
130,1,12964,416,920
131,3,3541,233,233
132,18,15182,43,547
133,6,6664,353,857
134,9,17000,170,170
135,1,8782,483,483
136,15,664,293,797
137,15,10700,107,107
138,6,2482,420,420
139,20,14023,229,733
140,1,4700,47,47
141,12,15941,357,357
142,3,7723,166,670
143,17,19264,479,983
144,21,9941,297,297
145,9,1423,103,607
146,1,12964,416,920
147,3,3541,233,233
148,18,15182,43,547
149,6,6664,353,857
150,9,17000,170,170
151,17,10482,500,500
152,5,1964,306,810
153,8,12300,123,123
154,1,4182,437,437
155,14,15723,246,750
156,14,6000,60,60
157,5,17541,373,373
158,20,14023,229,733
159,1,4700,47,47
160,12,15941,357,357
161,3,7723,166,670
162,14,18964,476,980
163,17,9541,293,293
164,9,1423,103,607
165,1,12964,416,920
166,1,3241,230,230
167,14,14782,39,543
168,6,6664,353,857
169,9,17000,170,170
170,20,8482,480,480
171,11,264,289,793
172,15,10700,107,107
173,6,2482,420,420
174,17,13723,226,730
175,20,4300,43,43
176,12,15941,357,357
177,20,9423,183,687
178,1,1,1,179
179,11,11241,310,310
180,2,3023,119,623
181,17,14664,433,937
182,20,5241,250,250
183,8,16482,56,560
184,22,8264,369,873
185,3,18700,187,187
186,17,10482,500,500
187,5,1964,306,810
188,8,12300,123,123
189,1,4182,437,437
190,14,15723,246,750
191,14,6000,60,60
192,5,17541,373,373
193,20,9423,183,687
194,1,1,1,195
195,11,11241,310,310
196,2,3023,119,623
197,17,14664,433,937
198,20,5241,250,250
199,8,16482,56,560
200,22,8264,369,873
201,3,18700,187,187
202,17,10482,500,500
203,22,3664,323,827
204,2,14000,140,140
205,13,5482,450,450
206,4,17023,259,763
207,8,7700,77,77
208,22,19241,390,390
209,10,10723,196,700
210,13,1300,13,13
211,18,14241,340,340
212,9,6023,149,653
213,1,17664,463,967
214,4,8241,280,280
215,15,19482,86,590
216,6,11264,399,903
217,10,1941,217,217
218,1,13482,26,530
219,12,4964,336,840
220,15,15300,153,153
221,7,7182,467,467
222,21,18723,276,780
223,21,9000,90,90
224,12,782,403,403
225,4,12423,213,717
226,7,3000,30,30
227,18,14241,340,340
228,9,6023,149,653
229,1,17664,463,967
230,4,8241,280,280
231,15,19482,86,590
232,6,11264,399,903
233,10,1941,217,217
234,1,13482,26,530
235,12,4964,336,840
236,15,15300,153,153
237,7,7182,467,467
238,21,18723,276,780
239,21,9000,90,90
240,12,782,403,403
241,4,12423,213,717
242,7,3000,30,30
243,18,14241,340,340
244,9,6023,149,653
245,1,17664,463,967
246,4,8241,280,280
247,15,19482,86,590
248,6,11264,399,903
249,10,1941,217,217
250,18,15182,43,547
251,6,6664,353,857
252,9,17000,170,170
253,1,8782,483,483
254,5,1964,306,810
255,8,12300,123,123
256,1,4182,437,437
