ProductID,Name,Price
1,"Adjustable Race",1.6000
2,"Bearing Ball",0.8000
3,"BB Ball Bearing",2.4000
4,"Headset Ball Bearings",0.0000
5,Blade,189.6000
6,"LL Crankarm",380.4000
7,"ML Crankarm",190.8000
8,"HL Crankarm",319.0000
9,"Chainring Bolts",0.0000
10,"Chainring Nut",192.6000
11,Chainring,193.2000
12,"Crown Race",516.8000
13,"Chain Stays",64.8000
14,"Decal 1",195.0000
15,"Decal 2",130.4000
16,"Down Tube",457.8000
17,"Mountain End Caps",590.4000
18,"Road End Caps",592.2000
19,"Touring End Caps",0.0000
20,"Fork End",397.2000
21,Freewheel,531.2000
22,"Flat Washer 1",0.0000
23,"Flat Washer 6",0.0000
24,"Flat Washer 2",0.0000
25,"Flat Washer 9",0.0000
26,"Flat Washer 4",0.0000
27,"Flat Washer 3",415.2000
28,"Flat Washer 8",0.0000
29,"Flat Washer 5",417.6000
30,"Flat Washer 7",418.8000
31,"Fork Crown",350.0000
32,"Front Derailleur Cage",561.6000
33,"Front Derailleur Linkage",0.0000
34,"Guide Pulley",568.0000
35,"LL Grip Tape",142.4000
36,"ML Grip Tape",0.0000
37,"HL Grip Tape",0.0000
38,"Thin-Jam Hex Nut 9",71.8000
39,"Thin-Jam Hex Nut 10",144.0000
40,"Thin-Jam Hex Nut 1",144.4000
41,"Thin-Jam Hex Nut 2",144.8000
42,"Thin-Jam Hex Nut 15",72.6000
43,"Thin-Jam Hex Nut 16",72.8000
44,"Thin-Jam Hex Nut 5",73.0000
45,"Thin-Jam Hex Nut 6",146.4000
46,"Thin-Jam Hex Nut 3",440.4000
47,"Thin-Jam Hex Nut 4",441.6000
48,"Thin-Jam Hex Nut 13",73.8000
49,"Thin-Jam Hex Nut 14",74.0000
50,"Thin-Jam Hex Nut 7",445.2000
51,"Thin-Jam Hex Nut 8",446.4000
52,"Thin-Jam Hex Nut 12",596.8000
53,"Thin-Jam Hex Nut 11",448.8000
54,"Hex Nut 5",150.0000
55,"Hex Nut 6",225.6000
56,"Hex Nut 16",75.4000
